26104,11739,242,192,934,1046,107498,58174,188,111,2109,1641,19,1223;;;;;;;;;;;;;;;;
361777,154762,5978,2260,12648,1755,604284,224567,5702,1776,11939,2711,56,1225;;;;;;;;;;;;;;;;
51320,4294,61,327,303,140,101548,7165,0,255,297,196,34,1231;;;;;;;;;;;;;;;;
74017,23052,215,140,115,399,153007,44057,105,181,28,622,30,1235;;;;;;;;;;;;;;;;
90739,10641,197,198,278,202,154517,17329,105,157,438,280,38,1235;;;;;;;;;;;;;;;;
1056715,170141,15026,5374,37168,13065,1557783,242737,13144,4844,33470,14134,56,1236;;;;;;;;;;;;;;;;
17389,3688,19,145,544,690,93417,21556,12,108,752,1401,12,1236;;;;;;;;;;;;;;;;
19774,1532,266,137,220,148,54832,4992,237,4,314,90,19,1243;;;;;;;;;;;;;;;;
24320,11960,227,15,323,211,50014,24876,159,62,235,81,24,1245;;;;;;;;;;;;;;;;
19672,1563,226,119,485,290,50676,3778,121,98,387,501,19,1249;;;;;;;;;;;;;;;;
985478,150410,22845,9422,22421,3376,1526637,230923,22363,9369,23642,3702,62,1251;;;;;;;;;;;;;;;;
841695,99394,11091,4116,35338,12264,1264705,143763,10012,3572,34615,11036,64,1256;;;;;;;;;;;;;;;;
53286,41957,162,192,555,206,107569,86293,63,113,302,311,30,1257;;;;;;;;;;;;;;;;
900466,367115,15340,5545,37807,10134,1258009,514711,12636,4768,33215,10414,64,1260;;;;;;;;;;;;;;;;
1051733,264010,11673,4187,35512,13005,1667437,419405,11061,3895,34697,11324,62,1267;;;;;;;;;;;;;;;;
499086,46996,7591,2701,6429,1170,962410,79438,7555,2771,6875,1760,50,1271;;;;;;;;;;;;;;;;
16619,1195,68,222,369,0,52732,3616,0,172,184,0,16,1273;;;;;;;;;;;;;;;;
1491171,243453,15405,5784,54581,21153,2553852,374054,15464,5710,53962,21629,71,1275;;;;;;;;;;;;;;;;
1824843,445516,26795,10186,68891,19969,1851944,442704,15916,5723,42319,11523,80,1277;;;;;;;;;;;;;;;;
134211,117493,315,0,779,47,251135,210421,191,80,577,234,36,1283;;;;;;;;;;;;;;;;
681359,123534,9858,4224,11195,1934,1222634,198881,8981,3985,11974,1859,50,1289;;;;;;;;;;;;;;;;
407723,62893,6611,2218,20485,4732,663845,99012,6339,2092,20402,6159,50,1289;;;;;;;;;;;;;;;;
930193,123349,9505,3813,32649,11284,1544402,188278,9117,3702,30275,11857,65,1291;;;;;;;;;;;;;;;;
929808,267014,9385,3575,30874,12054,1492985,425460,8387,3418,29778,12902,62,1295;;;;;;;;;;;;;;;;
